dbms	?column?	schemaname	tablename	column	?column?	type	?column?	?column?	?column?	?column?	?column?
postgresql	""	public	date_dimension	date_id	""	integer	""	""	""	""	""
postgresql	""	public	date_dimension	full_date	""	date	""	""	""	""	""
postgresql	""	public	date_dimension	au_format_date	""	character(10)	""	""	""	""	""
postgresql	""	public	date_dimension	us_format_date	""	character(10)	""	""	""	""	""
postgresql	""	public	date_dimension	year_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	year_week_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	year_day_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	au_fiscal_year_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	us_fiscal_year_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	qtr_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	au_fiscal_qtr_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	us_fiscal_qtr_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	month_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	month_name	""	character(9)	""	""	""	""	""
postgresql	""	public	date_dimension	month_day_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	week_day_number	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	day_name	""	character(9)	""	""	""	""	""
postgresql	""	public	date_dimension	day_is_weekday	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension	day_is_last_of_month	""	smallint	""	""	""	""	""
postgresql	""	public	date_dimension_pkey	date_id	""	integer	""	""	""	""	""
postgresql	""	public	ref_account_status	account_id	""	bigint	""	""	""	""	""
postgresql	""	public	ref_account_status	status	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_account_status_audit	account_id	""	bigint	""	""	""	""	""
postgresql	""	public	ref_account_status_audit	status	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_account_status_audit	etlchangetype	""	character varying(1)	""	""	""	""	""
postgresql	""	public	ref_account_status_audit	etlchange	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	ldz	""	character varying(16383)	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	name	""	character varying(500)	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	applicable_at	""	date	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	applicable_for	""	date	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	value	""	double precision	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_cv	etlchange	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	ldz	""	character varying(10)	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	regionprofile	""	character varying(500)	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	date	""	date	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	forecastdocumentation	""	double precision	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	variance	""	double precision	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	name	""	character varying(500)	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	applicable_at	""	date	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	applicable_for	""	date	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	value	""	double precision	""	""	""	""	""
postgresql	""	public	ref_alp_igloo_daf_wcf	etlchange	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_api_logs	api_name	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_api_logs	api_type	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_api_logs	api_response	""	character varying(2000)	""	""	""	""	""
postgresql	""	public	ref_api_logs	api_key	""	bigint	""	""	""	""	""
postgresql	""	public	ref_api_logs	api_request_date	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	account_id	""	bigint	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	gas_ldz	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	gas_imperial_meter_indicator	""	character varying(255)	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	meterpoint_id	""	bigint	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	supplyend_date	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	meter_removed_date	""	timestamp without time zone	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	register_id	""	bigint	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	no_of_digits	""	integer	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	read_min_created_date_gas	""	date	""	""	""	""	""
postgresql	""	public	ref_calculated_aq	read_max_created_date_gas	""	date	""	""	""	""	""
